name,icao,latitude,longitude,adress,city,country
ABBEVILLE,LFOI,50.143501,1.831891,,Abbeville,FR
AGEN-LA-GARENNE,LFBA,44.17470169067383,0.5905560255050659,LE PASSAGE 47520,Agen,FR
AJACCIO-NAPOLEON-BONAPARTE,LFKJ,41.92359924316406,8.8029203414917,AJACCIO 20090,Ajaccio,FR
ALBI-LE SÉQUESTRE,LFCI,43.91389846801758,2.1130599975585938,ALBI 81000 ,Albi,FR
ALÈS-DEAUX AIRPORT,LFMS,44.069698,4.14212,,Alès,FR
AMIENS-GLISY AIRPORT,LFAY,49.873004,2.387074,,Amiens,FR
ANGERS-MARCE,LFJR,47.560298919677734,-0.3122220039367676,MARCE 49140,Angers,FR
ANGOULEME-BRIE-CHAMPNIERS,LFBU,45.72919845581055,0.22145600616931915,CHAMPNIERS 16430,Angoulême,FR
ANNECY-MEYTHET,LFLP,45.9308333,6.1063889,METZ TESSY 74370,Annecy,FR
ANNEMASSE AIRPORT,LFLI,46.1920013428,6.268390178680001,,Annemasse,FR
ARCACHON-LA TESTE-DE-BUCH AIRPORT,LFCH,44.596401,-1.11083,,Arcachon,FR
AUBENAS-ARDÈCHE MÉRIDIONAL AIRPORT,LFHO,44.5442008972,4.37218999863,,Aubenas,FR
AUCH-LAMOTHE AIRPORT,LFDH,43.687801,0.601667,,Auch,FR
AURILLAC,LFLW,44.89139938354492,2.4219400882720947,AURILLAC 15000,Aurillac,FR
AUXERRE-BRANCHES,LFLA,47.85020065307617,3.497109889984131,AUXERRE 89380,Auxerre,FR
AVIGNON-CAUMONT,LFMV,43.90729904174805,4.901830196380615,RN7 MONT FAVET 84140,Avignon,FR
BALE-MULHOUSE,LFSB,47.59,7.5291667,B.P. 120 SAINT LOUIS CEDEX 68304,Mulhouse,FR
BASTIA-PORETTA,LFKB,42.55270004272461,9.48373031616211,CCI de Bastia BORGO 20290,Bastia,FR
BEAUNE-CHALLANGES AIRPORT,LFGF,47.005901,4.89342,,Beaune,FR
BEAUVAIS-TILLE,LFOB,49.45439910888672,2.1127800941467285,TILLE 60000,Beauvais,FR
BERGERAC-ROUMANIERE,LFBE,44.82529830932617,0.5186110138893127,Route d'Agen BERGERAC 24100,Bergerac,FR
BEZIERS-VIAS,LFMU,43.32350158691406,3.3538999557495117,VIAS 34450,Béziers,FR
BIARRITZ-BAYONNE-ANGLET,LFBZ,43.4683333,-1.5311111,"7, esplanade de l'Europe ANGLET 64600  CEDEX",Biarritz,FR
BLOIS-LE BREUIL AIRPORT,LFOQ,47.678502,1.20884,,Blois,FR
BORDEAUX-MERIGNAC,LFBD,44.828300476100004,-0.715556025505,BORDEAUX 33700,Bordeaux,FR
BOURGES,LFLD,47.058101654052734,2.3702800273895264,Route d'Issoudun BOURGES 18000,Bourges,FR
BREST-BRETAGNE,LFRB,48.447898864746094,-4.418540000915527,GUIPAVAS 29490,Brest,FR
BRIVE-VALLEE-DE-DORDOGNE-,LFSL,45.039722,1.485556,ESPOUL 19600,Brive,FR
